Capital,Word,Numeric,Special,FullPassword
A,cafe,2019,!,Acafe2019!
A,hyper,2019,!,Ahyper2019!
P,leet,10,!,Pleet10!
A,babe,2,!,Ababe2!
T,bingo,1234,*,Tbingo1234*
E,leet,2019,@,Eleet2019@
T,ninja,123,!,Tninja123!
A,ninja,777,*,Aninja777*
A,babe,101,*,Ababe101*
T,bingo,2019,_,Tbingo2019_
P,hackerman,777,%,Phackerman777%
A,bingo,2018,!,Abingo2018!
T,bingo,2018,!,Tbingo2018!
E,pass,2019,%,Epass2019%
P,ninja,1234,%,Pninja1234%
A,leet,2018,$,Aleet2018$
E,cafe,2019,$,Ecafe2019$
E,ninja,1234,!,Eninja1234!
E,cafe,10,%,Ecafe10%
E,leet,2019,@,Eleet2019@
E,hackerman,123,!,Ehackerman123!
T,hackerman,2019,!,Thackerman2019!
A,hyper,10,!,Ahyper10!
A,cafe,10,!,Acafe10!
E,leet,2019,$,Eleet2019$
A,hackerman,111,@,Ahackerman111@
E,babe,123,!,Ebabe123!
E,leet,123,@,Eleet123@
A,ninja,111,$,Aninja111$
T,leet,2018,%,Tleet2018%
P,hackerman,1,*,Phackerman1*
T,bingo,10,$,Tbingo10$
P,hyper,2019,$,Phyper2019$
T,leet,1234,$,Tleet1234$
A,bingo,123,!,Abingo123!
T,ninja,2018,!,Tninja2018!
P,babe,777,*,Pbabe777*
A,ninja,2018,@,Aninja2018@
P,leet,2019,*,Pleet2019*
E,hackerman,2018,!,Ehackerman2018!
A,cafe,000,_,Acafe000_
T,hyper,2019,!,Thyper2019!
E,hyper,1234,@,Ehyper1234@
A,leet,1,!,Aleet1!
A,bingo,2019,%,Abingo2019%
E,pass,1234,_,Epass1234_
A,ninja,1234,$,Aninja1234$
A,hyper,101,!,Ahyper101!
A,ninja,2018,@,Aninja2018@
A,babe,1234,!,Ababe1234!
P,cafe,111,!,Pcafe111!
T,leet,777,%,Tleet777%
E,hackerman,2019,@,Ehackerman2019@
